salesperson_id,salesperson_name,title,sales_manager_id,sales_manager_name,sales_director_id,sales_director_name,sales_vp_id,sales_vp_name,sales_team_id,sales_team_name
51,Dora Gordon,Regional Sales Director,,,,,5209,Tracy Buchanan,2,Team1
70,Christian Patrick,Regional Sales Director,,,,,5209,Tracy Buchanan,2,Team1
126,Steven Davis,Regional Sales Director,,,,,5209,Tracy Buchanan,2,Team1
5209,Tracy Buchanan,Regional Sales VP,,,,,5209,Tracy Buchanan,2,Team1
6718,Jonett Conner,Account Executive,,,51,Dora Gordon,5209,Tracy Buchanan,2,Team1
8101,Ashley Thorn,Regional Sales Manager,8101,Ashley Thorn,70,Christian Patrick,5209,Tracy Buchanan,2,Team1
8485,Matt French,Account Executive,,,8762,Tommy Ryanl,5209,Tracy Buchanan,2,Team1
8762,Tommy Ryanl,Regional Sales Director,,,8762,Tommy Ryanl,5209,Tracy Buchanan,2,Team1
9095,Jill Brown,Regional Sales Director,,,,,5209,Tracy Buchanan,2,Team1
9118,Janis Simon,Account Executive,,,126,Steven Davis,5209,Tracy Buchanan,2,Team1
9572,Kristi Patterson,Account Executive,,,9095,Jill Brown,5209,Tracy Buchanan,2,Team1
12723,Guadalupe Jenkins,Account Executive,,,22587,Ronald O'Brien,5209,Tracy Buchanan,2,Team1
13147,Roy Mendoza,Regional Sales Manager,13147,Roy Mendoza,9095,Jill Brown,5209,Tracy Buchanan,2,Team1
13644,Tara Holloway,Account Executive,,,126,Steven Davis,5209,Tracy Buchanan,2,Team1
14415,Joan Herrera,Account Executive,,,9095,Jill Brown,5209,Tracy Buchanan,2,Team1
14782,Tricia Hudson,Account Executive,,,22587,Ronald O'Brien,5209,Tracy Buchanan,2,Team1
16543,Lois Santiago,Account Executive,,,70,Christian Patrick,5209,Tracy Buchanan,2,Team1
18795,Kendra Kelley,Account Executive,13147,Roy Mendoza,9095,Jill Brown,5209,Tracy Buchanan,2,Team1
22587,Ronald O'Brien,Regional Sales Director,,,,,5209,Tracy Buchanan,2,Team1
7255,Jeremy Gilbert,Account Executive,,,17590,Gwen Salazar,16975,Freda Ward,3,Team2
8067,Marty Simon,Regional Sales Director,,,8067,Marty Simon,16975,Freda Ward,3,Team2
8366,Lorraine Coleman,Regional Sales Director,,,8366,Lorraine Coleman,16975,Freda Ward,3,Team2
13572,Wendy Norman,Account Executive,,,17590,Gwen Salazar,16975,Freda Ward,3,Team2
16421,Sean Guerrero,Regional Sales Director,,,16421,Sean Guerrero,16975,Freda Ward,3,Team2
16975,Freda Ward,Regional Sales VP,,,,,16975,Freda Ward,3,Team2
17590,Gwen Salazar,Regional Sales Director,,,17590,Gwen Salazar,16975,Freda Ward,3,Team2
17591,Karla Collier,Account Executive,,,8067,Marty Simon,16975,Freda Ward,3,Team2
18710,Carolyn Blair,Account Executive,,,8067,Marty Simon,16975,Freda Ward,3,Team2
19348,Jeff Stevenson,Account Executive,,,8366,Lorraine Coleman,16975,Freda Ward,3,Team2
20117,Alyssa Fleming,Account Executive,,,16421,Sean Guerrero,16975,Freda Ward,3,Team2
22768,Thelma Stone,Account Executive,,,8067,Marty Simon,16975,Freda Ward,3,Team2
7718,Jan Harvey,Account Executive,,,14641,Michele Young,7799,Ricardo Joseph,8,Team3
7799,Ricardo Joseph,Regional Sales VP,,,,,7799,Ricardo Joseph,8,Team3
7952,Jean Wilkerson,Regional Sales Manager,7952,Jean Wilkerson,14641,Michele Young,7799,Ricardo Joseph,8,Team3
9605,Lindsey Stokes,Regional Sales Director,,,9605,Lindsey Stokes,7799,Ricardo Joseph,8,Team3
12696,Dolores Neal,Account Executive,,,14641,Michele Young,7799,Ricardo Joseph,8,Team3
14641,Michele Young,Regional Sales Director,,,14641,Michele Young,7799,Ricardo Joseph,8,Team3
17079,Iris Chandler,Account Executive,8233,William Lawson,9605,Lindsey Stokes,7799,Ricardo Joseph,8,Team3
17505,Holly Holmes,Account Executive,19250,Casey Nguyen,21716,Nick Craig,7799,Ricardo Joseph,8,Team3
18242,Ora Aguilar,Account Executive,,,14641,Michele Young,7799,Ricardo Joseph,8,Team3
18729,Sam Castillo,Account Executive,7952,Jean Wilkerson,14641,Michele Young,7799,Ricardo Joseph,8,Team3
19250,Casey Nguyen,Regional Sales Manager,19250,Casey Nguyen,21716,Nick Craig,7799,Ricardo Joseph,8,Team3
21716,Nick Craig,Regional Sales Director,,,21716,Nick Craig,7799,Ricardo Joseph,8,Team3
